# Recommended confusable mapping for IDN
2F79,7F51 
2EAB,7F52 
2EB2,7F52 
2EB1,7F53 
2F974,4359 
FA5A,7F72 
2F975,262D9 
F9E6,7F79 
2F976,7F7A 
F90F,7F85 
2F977,2633E 
2F7A,7F8A 
2F978,7F95 
F9AF,7F9A 
FA1E,7FBD 
2F7B,7FBD 
2F979,7FFA 
F934,8001 
2F7C,8001 
2EB9,8002 
FA5B,8005 
FAB2,8005 
2F97A,8005 
2F7D,800C 
2F97B,264DA 
2F7E,8012 
2F97C,26523 
2F7F,8033 
F9B0,8046 
2F97D,8060 
2F97E,265A8 
F997,806F 
2F97F,8070 
F945,807E 
2F80,807F 
2EBA,8080 
2F81,8089 
F953,808B 
2F8D6,80AD 
2F982,80B2 
2F981,43D5 
2F8D7,43D9 
8141,80FC 
2F983,8103 
2F985,813E 
2F984,440B 
2F987,267A7 
2F988,267B5 
6726,4443 
F926,81D8 
2F82,81E3 
F9F6,81E8 
2F83,81EA 
FA5C,81ED 
2F84,81F3 
2F85,81FC 
2F893,8201 
2F98B,8201 
2F98C,8204 
2F86,820C 
FA6D,8218 
2F87,821B 
2F88,821F 
2F98E,446B 
2F89,826E 
F97C,826F 
2F8A,8272 
2F8B,8278 
FA5D,8279 
FA5E,8279 
2EBE,8279 
2EBF,8279 
2EC0,8279 
2F990,828B 
2F98F,8291 
2F991,829D 
2F993,82B1 
2F994,82B3 
2F995,82BD 
F974,82E5 
2F998,82E5 
2F996,82E6 
2F997,26B3C 
F9FE,8336 
FAB3,8352 
2F99A,8363 
2F999,831D 
2F99C,8323 
2F99D,83BD 
2F9A0,8353 
F93E,83C9 
2F9A1,83CA 
2F9A2,83CC 
2F9A3,83DC 
2F99E,83E7 
FAB4,83EF 
F958,83F1 
FA5F,8457 
2F99F,8457 
2F9A4,26C36 
2F99B,83AD 
F918,843D 
F96E,8449 
853F,848D 
2F9A6,26CD5 
2F9A5,26D6B 
F999,84EE 
2F9A8,84F1 
2F9A9,84F3 
F9C2,84FC 
2F9AA,8516 
2F9A7,452B 
2F9AC,8564 
2F9AD,26F2C 
F923,85CD 
2F9AE,455D 
2F9B0,26FB1 
2F9AF,4561 
F9F0,85FA 
F935,8606 
2F9B2,456B 
FA20,8612 
F91F,862D 
2F9B1,270D2 
8641,8637 
F910,863F 
2F8C,864D 
2EC1,864E 
2F9B3,8650 
F936,865C 
2F9B4,865C 
2F9B5,8667 
2F9B6,8669 
2F8D,866B 
2F9B7,86A9 
2F9B8,8688 
2F9BA,86E2 
2F9B9,870E 
2F9BC,8728 
2F9BD,876B 
2F9C0,87E1 
FAB5,8779 
2F9BB,8779 
2F9BE,8786 
2F9BF,45D7 
2F9AB,273CA 
F911,87BA 
2F9C1,8801 
2F9C2,45F9 
F927,881F 
2F8E,8840 
FA08,884C 
2F8F,884C 
2F9C3,8860 
2F9C4,8863 
2F90,8863 
2EC2,8864 
F9A0,88C2 
2F9C5,27667 
F9E7,88CF 
2F9C6,88D7 
2F9C7,88DE 
F9E8,88E1 
F912,88F8 
2F9C9,88FA 
2F9C8,4635 
FA60,8910 
FAB6,8941 
F924,8964 
2F91,897E 
2EC4,897F 
2EC3,8980 
FAB7,8986 
FA0A,898B 
2F92,898B 
2F9CB,278AE 
2EC5,89C1 
2F93,89D2 
2F94,8A00 
2F9CC,27966 
8A7D,8A2E 
8A1E,46B6 
2F9CD,46BE 
2F9CE,46C7 
2F9CF,8AA0 
F96F,8AAA 
F9A1,8AAA 
FAB9,8ABF 
FABB,8ACB 
F97D,8AD2 
F941,8AD6 
FABE,8AED 
2F9D0,8AED 
FA22,8AF8 
FABA,8AF8 
F95D,8AFE 
FABD,8AFE 
FA62,8B01 
FABC,8B01 
FA63,8B39 
FABF,8B39 
F9FC,8B58 
F95A,8B80 
8B8F,8B86 
FAC0,8B8A 
2F9D1,8B8A 
2EC8,8BA0 
2F95,8C37 
2F96,8C46 
F900,8C48 
2F9D2,8C55 
2F97,8C55 
8C63,8C5C 
2F98,8C78 
2F9D3,27CA8 
2F99,8C9D 
2F9D4,8CAB 
2F9D5,8CC1 
F948,8CC2 
F903,8CC8 
FA64,8CD3 
FA65,8D08 
FAC1,8D08 
2F9D6,8D1B 
2EC9,8D1D 
2F9A,8D64 
2F9B,8D70 
2F9D7,8D77 
8D86,8D7F 
FAD7,27ED3 
2F9D8,27F2F 
2F9C,8DB3 
2F9DA,8DCB 
2F9DB,8DBC 
8DFA,8DE5 
F937,8DEF 
2F9DC,8DF0 
8E9B,8E97 
2F9D,8EAB 
F902,8ECA 
2F9E,8ECA 
2F9DE,8ED4 
8F27,8EFF 
F998,8F26 
F9D7,8F2A 
FAC2,8F38 
2F9DF,8F38 
FA07,8F3B 
F98D,8F62 
2ECB,8F66 
2F9F,8F9B 
2F98D,8F9E 
F971,8FB0 
2FA0,8FB0 
2FA1,8FB5 
FA66,8FB6 
2ECC,8FB6 
2ECD,8FB6 
2F881,5DE1 
F99A,9023 
FA25,9038 
FA67,9038 
FAC3,9072 
F9C3,907C 
2F9E0,285D2 
2F9E1,285ED 
F913,908F 
2FA2,9091 
2F9E2,9094 
F92C,90CE 
90DE,90CE 
FA2E,90CE 
2F9E3,90F1 
FA26,90FD 
2F9E5,2872E 
2F9E4,9111 
2F9E6,911B 
2FA3,9149 
F919,916A 
FAC4,9199 
F9B7,91B4 
2FA4,91C6 
F9E9,91CC 
2FA5,91CC 
F97E,91CF 
F90A,91D1 
2FA6,91D1 
F9B1,9234 
2F9E7,9238 
FAC5,9276 
2F9E8,92D7 
2F9E9,92D8 
2F9EA,927C 
F93F,9304 
F99B,934A 
93AE,93AD 
2F9EB,93F9 
2F9EC,9415 
2F9ED,28BFA 
2ED0,9485 
2ED1,9577 
2FA7,9577 
2ED2,9578 
2ED3,957F 
2FA8,9580 
2F9EE,958B 
2F9EF,4995 
F986,95AD 
2F9F0,95B7 
2F9F1,28D77 
2ED4,95E8 
2FA9,961C 
2ECF,961D 
2ED6,961D 
F9C6,962E 
F951,964B 
FA09,964D 
F959,9675 
F9D3,9678 
FAC6,967C 
F9DC,9686 
F9F1,96A3 
2F9F2,49E6 
2FAA,96B6 
FA2F,96B7 
96B8,96B7 
F9B8,96B7 
2FAB,96B9 
2F9F3,96C3 
F9EA,96E2 
FA68,96E3 
FAC7,96E3 
2FAC,96E8 
F9B2,96F6 
F949,96F7 
2F9F5,9723 
2F9F6,29145 
F938,9732 
F9B3,9748 
2FAD,9751 
2ED8,9752 
FA1C,9756 
FAC8,9756 
2F81C,291DF 
2FAE,975E 
2FAF,9762 
2F9F7,2921A 
2FB0,9769 
2F9F8,4A6E 
2F9F9,4A76 
2FB1,97CB 
FAC9,97DB 
2F9FA,97E0 
2ED9,97E6 
2FB2,97ED 
2F9FB,2940A 
2FB3,97F3 
FA69,97FF 
FACA,97FF 
2FB4,9801 
2F9FC,4AB2 
FACB,980B 
2F9FE,980B 
2F9FF,980B 
F9B4,9818 
2FA00,9829 
2F9FD,29496 
FA6A,983B 
FACC,983B 
F9D0,985E 
2EDA,9875 
2FB5,98A8 
2FA01,295B6 
2EDB,98CE 
2FB6,98DB 
2EDC,98DE 
2EDD,98DF 
2FB7,98DF 
2EDF,98E0 
2FA02,98E2 
FA2A,98EF 
FA2B,98FC 
2FA03,4B33 
FA2C,9928 
2FA04,9929 
2EE0,9963 
2FB8,9996 
2FB9,9999 
2FA05,99A7 
2FBA,99AC 
2FA06,99C2 
F91A,99F1 
2FA07,99FE 
F987,9A6A 
2EE2,9A6C 
2FBB,9AA8 
2FA08,4BCE 
2FBC,9AD8 
2FBD,9ADF 
2FA09,29B30 
FACD,9B12 
2FA0A,9B12 
2FBE,9B25 
2FBF,9B2F 
2FC0,9B32 
2FC1,9B3C 
2EE4,9B3C 
2FC2,9B5A 
F939,9B6F 
2FA0B,9C40 
F9F2,9C57 
2EE5,9C7C 
2FC3,9CE5 
2FA0C,9CFD 
2FA0D,4CCE 
2FA0F,9D67 
2FA0E,4CED 
2FA10,2A0CE 
FA2D,9DB4 
2FA12,2A105 
2FA11,4CF8 
F93A,9DFA 
2FA13,2A20E 
F920,9E1E 
9E43,9E42 
2FC4,9E75 
F940,9E7F 
2FC5,9E7F 
2FA14,2A291 
F988,9E97 
F9F3,9E9F 
2FC6,9EA5 
2EE8,9EA6 
2FA15,9EBB 
2FC7,9EBB 
2F88F,2A392 
2FC8,9EC3 
2EE9,9EC4 
2FC9,9ECD 
F989,9ECE 
2FA16,4D56 
2FCA,9ED1 
9ED2,9ED1 
FA3A,58A8 
2FA17,9EF9 
2FCB,9EF9 
2FCC,9EFD 
2FA19,9F05 
2FA18,9EFE 
2FCD,9F0E 
2FA1A,9F0F 
2FCE,9F13 
2FA1B,9F16 
2FCF,9F20 
2FA1C,9F3B 
2FD0,9F3B 
FAD8,9F43 
2FD1,9F4A 
2EEC,9F50 
2FD2,9F52 
2FA1D,2A600 
2EEE,9F7F 
F9C4,9F8D 
2FD3,9F8D 
FAD9,9F8E 
2EF0,9F99 
F907,9F9C 
F908,9F9C 
FACE,9F9C 
2FD4,9F9C 
2EF3,9F9F 
2FD5,9FA0 
111DB,A8FC 
